149.154.164.26:443 S=23 9999ms TTFB=385 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Netherlands Telegram Messenger INC
149.154.164.24:443 S=23 9999ms TTFB=386 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Netherlands Telegram Messenger INC
149.154.164.25:443 S=23 9999ms TTFB=382 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Netherlands Telegram Messenger INC
149.154.165.133:443 S=23 9999ms TTFB=369 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Netherlands Telegram Messenger INC
149.154.165.137:443 S=23 9999ms TTFB=368 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Netherlands Telegram Messenger INC
31.13.89.23:443 S=23 9999ms TTFB=133 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Mexico Facebook, Inc.
31.13.84.41:443 S=23 9999ms TTFB=464 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Austria Facebook, Inc.
31.13.84.41:8443 S=23 9999ms TTFB=463 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Austria Facebook, Inc.
31.13.93.23:443 S=23 9999ms TTFB=66 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= United States Facebook, Inc.
185.84.158.127:80 S=20 9999ms TTFB=370 PROTO=http REL=1.0 CDN=unknown ALPN= None None
193.111.236.243:2096 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
31.13.69.42:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
31.13.69.42:8443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
31.13.95.41:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
31.13.95.41:8443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
213.176.6.17:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
46.209.120.242:443 S=13 9999ms TTFB=1149 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Iran Respina
46.209.127.228:443 S=13 9999ms TTFB=840 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Iran Respina Networks Beyond Pjsc
185.84.158.120:2083 S=13 9999ms TTFB=1431 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Iran Ettelaat Fanavarn e Tookan Co LTD
185.84.158.120:2087 S=13 9999ms TTFB=1356 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Iran Ettelaat Fanavarn e Tookan Co LTD
193.111.236.221:443 S=13 9999ms TTFB=965 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Iran Ettelaat Fanavarn e Tookan Co LTD
193.111.236.220:443 S=13 9999ms TTFB=1024 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= None None
91.186.193.195:443 S=13 9999ms TTFB=1094 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Iran Ettelaat Fanavarn e Tookan Co LTD
46.209.149.244:443 S=13 9999ms TTFB=1913 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Iran CWM
149.154.170.96:443 S=13 9999ms TTFB=926 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Singapore Telegram Messenger INC
149.154.170.100:443 S=13 9999ms TTFB=814 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Singapore Telegram Messenger INC
149.154.170.200:443 S=13 9999ms TTFB=799 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Singapore Telegram Messenger INC
185.84.158.22:2053 S=12 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.22:2096 S=11 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.22:8080 S=10 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
